handle,total_posts,school_count,flags,schools
"@prepbaseball",1,1,"","Louisiana State University"
"@prepredzoneaz",1,1,"","Texas A&M"
"@primalharvest",1,1,"","Penn State University"
"@PrimeVideo",1,1,"","Louisiana State University"
"@proactiv",1,1,"","Baylor"
"@probionutrition",1,1,"","University of Virginia"
"@proteini.si_bih",1,1,"","Louisiana State University"
"@psecu",1,1,"","Penn State University"
"@ptxofficial",1,1,"","University of Virginia"
"@pumagolf",1,1,"","University of Virginia"
"@pumahoops",1,1,"","University of Nebraska"
"@pupbuono_4",1,1,"","Penn State University"
"@pyramidhealthcare",1,1,"","Penn State University"
"@quantumdrive",1,1,"","Louisiana State University"
"@quipnation",1,1,"","Penn State University"
"@rabanne",1,1,"","Penn State University"
"@radmor.golf",1,1,"","Texas A&M"
"@raiffeisen_bank_bih",1,1,"","University of Virginia"
"@rally_house",1,1,"","University of Maryland"
"@ramtrucks",1,1,"","Penn State University"
"@rapsodobaseball",1,1,"","Louisiana State University"
"@rashadking._",1,1,"","Louisiana State University"
"@rbcwealth_us",1,1,"","University of Virginia"
"@readygolftx",1,1,"","Baylor"
"@realcoolmitt",1,1,"","University of Virginia"
"@recuperationsport",1,1,"","University of Virginia"
"@reeses",1,1,"","University of Nebraska"
"@RenaissanceSeattle",1,1,"","University of Central Florida"
"@renault",1,1,"","University of Texas at San Antonio (UTSA)"
"@rendevereux",1,1,"","Penn State University"
"@retroreflections",1,1,"","Texas A&M"
"@reviveathletics.us",1,1,"","University of Nebraska"
"@revolutionwraps",1,1,"","University of Nebraska"
"@reynspooner",1,1,"","Michigan State"
"@riot.energy",1,1,"","Michigan State"
"@riseandpuff",1,1,"","Baylor"
"@risingballersusa",1,1,"","University of Virginia"
"@risingspearnil",1,1,"likely_agency_or_collective","University of Virginia"
"@ritualhockey_usa",1,1,"","University of Virginia"
"@rivalsdotcom",1,1,"likely_media_or_publisher","Texas A&M"
"@rjyoungco",1,1,"","Louisiana State University"
"@rockem",1,1,"","University of Virginia"
"@rocketroofing",1,1,"","University of Nebraska"
"@rodeohouston",1,1,"","Texas A&M"
"@romanipsavi",1,1,"","Texas A&M"
"@royalcaribbean",1,1,"","University of Virginia"
"@rubykissescosmetics",1,1,"","Baylor"
"@ruespari",1,1,"","Auburn University"
"@rumur.rouille",1,1,"","Louisiana State University"
"@runza",1,1,"","University of Nebraska"
"@s2_normal",1,1,"","Penn State University"
"@s2faction",1,1,"","Penn State University"
"@saddlersachs",1,1,"","Auburn University"
"@sagevalley",1,1,"","Texas A&M"
"@saintthejeweler",1,1,"","Auburn University"
"@saks",1,1,"","University of Nebraska"
"@sam_simmons05",1,1,"","University of Texas at San Antonio (UTSA)"
"@samsungmobileusa",1,1,"","Louisiana State University"
"@samsungpartner",1,1,"","Auburn University"
"@sandinmybootsfest",1,1,"","Louisiana State University"
"@sanjosesharks",1,1,"","Penn State University"
"@sara_prirodna_voda",1,1,"","University of Virginia"
"@saxbys",1,1,"","University of Virginia"
"@sayythatscarl",1,1,"","Baylor"
"@scarletandgoldshop",1,1,"","Auburn University"
"@schuesslergolfacademy",1,1,"likely_agency_or_collective","Auburn University"
"@scooterscoffee",1,1,"","University of Nebraska"
"@scott_raterman",1,1,"","University of Nebraska"
"@scottre_humphrey",1,1,"","Michigan State"
"@seamollybikini",1,1,"","Baylor"
"@seasideparkbeachpatrol",1,1,"","Penn State University"
"@seekjesusco",1,1,"","Baylor"
"@settercollegevb",1,1,"","Louisiana State University"
"@setvisionagency",1,1,"likely_media_or_publisher;likely_agency_or_collective","Michigan State"
"@sevenanchoroutfitters",1,1,"","Auburn University"
"@shadyrays",1,1,"","Louisiana State University"
"@sharkaddicts",1,1,"","Auburn University"
"@sheaffersauto",1,1,"","Penn State University"
"@shmoneythejeweler",1,1,"","University of Texas at San Antonio (UTSA)"
"@shootaway",1,1,"","Baylor"
"@shopbirdyboutique",1,1,"","Texas A&M"
"@ShopIDC",1,1,"","University of Central Florida"
"@shopsidelinebags",1,1,"","Baylor"
"@shopstf",1,1,"","University of Nebraska"
"@show_me_sportz",1,1,"","Baylor"
"@shulawmax",1,1,"","University of Virginia"
"@sidelines_magazine",1,1,"","Auburn University"
"@SierraOfficial",1,1,"","University of Texas at San Antonio (UTSA)"
"@simp_calvin_22",1,1,"","Baylor"
"@sip.matchabar",1,1,"","University of Texas at San Antonio (UTSA)"
"@sitkagear",1,1,"","Louisiana State University"
"@sixstitchapparel",1,1,"","Auburn University"
"@skeesh.store",1,1,"","Louisiana State University"
"@skinandbeautybykloee",1,1,"","University of Nebraska"
"@skratchlabs",1,1,"","Penn State University"
"@slamlotion",1,1,"","University of Central Florida"
"@slate",1,1,"","University of Virginia"
"@sleepme",1,1,"","Penn State University"
"@sling",1,1,"","Texas A&M"
"@sluups",1,1,"","Penn State University"
"@smoothskincville",1,1,"","University of Virginia"
"@smudgebeautyinc",1,1,"","Baylor"
"@snackfanatics",1,1,"","Michigan State"
"@sohoodie",1,1,"","Penn State University"
"@solarsoccerclub",1,1,"","Baylor"
"@soldiersports.us",1,1,"","University of Nebraska"
"@soleinspires",1,1,"","Auburn University"
"@SONIC",1,1,"","Texas A&M"
"@sonicpartner",1,1,"","Texas A&M"
"@southmoonunder",1,1,"","University of Virginia"
"@southwestair",1,1,"","Penn State University"
"@spaldingboyslax",1,1,"","University of Virginia"
"@spectrum_sp",1,1,"","University of Central Florida"
"@spencesummeruns",1,1,"","University of Maryland"
"@spikeball",1,1,"","Penn State University"
"@spire",1,1,"","Auburn University"
"@sportfiveagency",1,1,"likely_agency_or_collective","Texas A&M"
"@sporthorseintl",1,1,"","Baylor"
"@springcreektroutunlimited",1,1,"","Penn State University"
"@sprtnshop",1,1,"","Texas A&M"
"@src_girls",1,1,"","University of Virginia"
"@ssco",1,1,"","Auburn University"
"@stadiumcustomkicks",1,1,"","Auburn University"
"@stanley_brand",1,1,"","Auburn University"
"@Starbucks",1,1,"","Texas A&M"
"@starsandhoney.co",1,1,"","Penn State University"
"@starsandstrikes",1,1,"","Michigan State"
"@stevemadden",1,1,"","University of Virginia"
"@stlchiropracticandperformance",1,1,"","Texas A&M"
"@strangerthingstv",1,1,"likely_media_or_publisher","University of Nebraska"
"@streamsongresort",1,1,"","Penn State University"
"@streignth",1,1,"","Penn State University"
"@strictlyalohaapparel",1,1,"","Michigan State"
"@stylin101_",1,1,"","Auburn University"
"@subwayFreshFit",1,1,"","Baylor"
"@suenodelmarbnb",1,1,"","University of Maryland"
"@sumoramenbykumori",1,1,"","University of Texas at San Antonio (UTSA)"
"@sunbum",1,1,"","Penn State University"
"@sundayred",1,1,"","Auburn University"
"@supplementsuperstores",1,1,"","Penn State University"
"@surfsynergy",1,1,"","University of Maryland"
"@survivorcbs",1,1,"","Texas A&M"
"@svn77brand",1,1,"","University of Virginia"
"@swarovski",1,1,"","University of Maryland"
"@swipathefox",1,1,"","Louisiana State University"
"@syotoshealth",1,1,"","Texas A&M"
"@takisusa",1,1,"","University of Nebraska"
"@tangoh.n",1,1,"","University of Texas at San Antonio (UTSA)"
"@tapnpayplus",1,1,"","Penn State University"
"@target",1,1,"","University of Maryland"
"@taylormade",1,1,"","Texas A&M"
"@tazwillco",1,1,"","Baylor"
"@tctbuzau",1,1,"","Louisiana State University"
"@teamjordan",1,1,"","Penn State University"
"@teamprepusa",1,1,"","Texas A&M"
"@tejasaesthetics_",1,1,"","Baylor"
"@temeculacarriages",1,1,"","Baylor"
"@ten10sportstraining",1,1,"","Louisiana State University"
"@tennis.brat",1,1,"","Auburn University"
"@tennisbraveoficial",1,1,"","University of Texas at San Antonio (UTSA)"
"@teqnigrip",1,1,"","University of Virginia"
"@terrapinhoops",1,1,"","University of Maryland"
"@tessa_marie_lavender",1,1,"","Texas A&M"
"@texasfarmbureau",1,1,"","Texas A&M"
"@texasgivingmachine",1,1,"","Texas A&M"
"@texasreining",1,1,"","Baylor"
"@texasroadhouse",1,1,"","Texas A&M"
"@tfnbyourbankforlife",1,1,"","Baylor"
"@tghcares",1,1,"","University of Virginia"
"@the___grit",1,1,"","Louisiana State University"
"@the_rudis",1,1,"","University of Virginia"
"@the_runningback_academy",1,1,"likely_agency_or_collective","Penn State University"
"@the15club_nil",1,1,"likely_agency_or_collective","University of Virginia"
"@the55armaj",1,1,"","Texas A&M"
"@thebeardclub",1,1,"","University of Virginia"
"@thebootstore_br",1,1,"","Louisiana State University"
"@thebowerman",1,1,"","Baylor"
"@thebrandlsu",1,1,"","Louisiana State University"
"@thechosen1.co",1,1,"","University of Maryland"
"@thecovernetwork",1,1,"likely_media_or_publisher","Penn State University"
"@thefamilie_",1,1,"","Texas A&M"
"@thehomeofgolf",1,1,"","Baylor"
"@thejngroup",1,1,"","Baylor"
"@themodestsportsshow",1,1,"","Louisiana State University"
"@theprideofodu",1,1,"","Old Dominion University"
"@theringguards",1,1,"","Texas A&M"
"@theskinnyconfidential",1,1,"","Auburn University"
"@thestridereport",1,1,"likely_media_or_publisher","Texas A&M"
"@thevelosports",1,1,"","Michigan State"
"@threadsbysahara",1,1,"","Baylor"
"@thrivbio",1,1,"","Michigan State"
"@thriveh.ts",1,1,"","Louisiana State University"
"@tigerrags",1,1,"","Auburn University"
"@timberhillllc",1,1,"","Baylor"
"@tirerack",1,1,"","University of Virginia"
"@titleist",1,1,"","University of Virginia"
"@tiy_products",1,1,"","University of Central Florida"
"@tjmaxx",1,1,"","University of Virginia"
"@tkeqtheshop",1,1,"","Auburn University"
"@tkoequipco",1,1,"","Texas A&M"
"@toalson",1,1,"","Penn State University"
"@topguntglc",1,1,"","Baylor"
"@topline_imports_llc",1,1,"","Baylor"
"@topps",1,1,"","University of Maryland"
"@torquefitnessusa",1,1,"","Baylor"
"@townshipfh",1,1,"","Penn State University"
"@trackhouseusa",1,1,"","Texas A&M"
"@tracksmithrunning",1,1,"","Baylor"
"@tractortuesday",1,1,"","University of Nebraska"
"@travelerschamp",1,1,"","University of Virginia"
"@trayvo_official",1,1,"","Penn State University"
"@trece.stu",1,1,"","Texas A&M"
"@treehut",1,1,"","Baylor"
"@trent.caraway",1,1,"","Louisiana State University"
"@trevihydration",1,1,"","Penn State University"
"@tribenilsports",1,1,"likely_agency_or_collective","University of Virginia"
"@trufru",1,1,"","Louisiana State University"
"@tryelectro",1,1,"","University of Nebraska"
"@turbotax",1,1,"","University of Nebraska"
"@turngymnastics",1,1,"","Penn State University"
"@twinportstimber",1,1,"","University of Nebraska"
"@twofour",1,1,"","University of Maryland"
"@txrpaintball",1,1,"","Texas A&M"
"@tylenol",1,1,"","Penn State University"
"@tylerkasak",1,1,"","Penn State University"
"@Uber",1,1,"","Louisiana State University"
"@Uber One",1,1,"","Louisiana State University"
"@ugliessnacks",1,1,"","University of Texas at San Antonio (UTSA)"
"@unbridledcouture",1,1,"","Auburn University"
"@underdog_brand",1,1,"","Penn State University"
"@uniballco",1,1,"","University of Central Florida"
"@uninterrupted",1,1,"","University of Virginia"
"@unitedsoccercoaches",1,1,"","Auburn University"
"@unrivaledbasketball",1,1,"","Louisiana State University"
"@uptimeenergy",1,1,"","Baylor"
"@usaswimming",1,1,"","University of Virginia"
"@usfwbb",1,1,"","University of Virginia"
"@ussteelcorp",1,1,"","University of Virginia"
"@usynt",1,1,"","Penn State University"
"@utsaathletics",1,1,"likely_team_page","University of Texas at San Antonio (UTSA)"
"@utsawgolf",1,1,"likely_team_page","University of Texas at San Antonio (UTSA)"
"@uvawomenshoops",1,1,"likely_team_page","University of Virginia"
"@vaidaicoffee",1,1,"","Auburn University"
"@vans",1,1,"","University of Virginia"
"@varsitycatholic",1,1,"","University of Nebraska"
"@veccoandco",1,1,"","University of Central Florida"
"@velocity_football",1,1,"","Auburn University"
"@vermontlakemonsters",1,1,"","University of Virginia"
"@victoriassecret",1,1,"","University of Virginia"
"@vine_spirit",1,1,"","Louisiana State University"
"@visitmagnolia",1,1,"","Baylor"
"@vitaminwelldeutschland",1,1,"","Louisiana State University"
"@vivlifebeach",1,1,"","Louisiana State University"
"@voyager_brands",1,1,"","Louisiana State University"
"@vsuavria",1,1,"","University of Virginia"
"@vukgripz",1,1,"","University of Central Florida"
"@wafflehouse",1,1,"","Auburn University"
"@wahala_cr3w",1,1,"","University of Texas at San Antonio (UTSA)"
"@wally",1,1,"","Auburn University"
"@washingtontrails",1,1,"","University of Central Florida"
"@wccsports",1,1,"","University of Virginia"
"@wdadentalsavingsclub",1,1,"","University of Nebraska"
"@wearenilsu",1,1,"likely_agency_or_collective","Louisiana State University"
"@wesh2",1,1,"","University of Central Florida"
"@whatsup_pod",1,1,"","Penn State University"
"@whenskiesarentblue",1,1,"","University of Maryland"
"@whipplesuperchargers",1,1,"","Baylor"
"@whitecastle",1,1,"","Texas A&M"
"@whitefoxboutique",1,1,"","Baylor"
"@wickbaseball",1,1,"","University of Virginia"
"@williamlaurenco",1,1,"","Baylor"
"@windsorstables_ga",1,1,"","Auburn University"
"@windsorstore",1,1,"","University of Nebraska"
"@wingsnmoreexpress",1,1,"","Texas A&M"
"@wingstop",1,1,"","Auburn University"
"@winklernutrition",1,1,"","Penn State University"
"@winreality",1,1,"","Baylor"
"@wiredaxcess",1,1,"","University of Nebraska"
"@woglosportswear",1,1,"","University of Central Florida"
"@wslam",1,1,"","Louisiana State University"
"@wuvubeauty",1,1,"","Louisiana State University"
"@wvubaseball",1,1,"","Penn State University"
"@wyndhamchamp",1,1,"","Auburn University"
"@wyo_football",1,1,"","University of Nebraska"
"@yahoo.supply",1,1,"","Baylor"
"@yakkertech",1,1,"","Auburn University"
"@yamahamotorusa",1,1,"","Auburn University"
"@yamata",1,1,"","Penn State University"
"@ydredsoxccbl",1,1,"","Louisiana State University"
"@yeti",1,1,"","Baylor"
"@ynab.official",1,1,"","University of Texas at San Antonio (UTSA)"
"@yomuchacho",1,1,"","University of Nebraska"
"@Yota",1,1,"","Penn State University"
"@younglifesav",1,1,"","Auburn University"
"@yurview_louisiana",1,1,"","Louisiana State University"
"@yutori_jewelry",1,1,"","University of Nebraska"
"@zakiyahmonae_",1,1,"","Louisiana State University"
"@zeke_saldana",1,1,"","University of Texas at San Antonio (UTSA)"
"@zeyy_._",1,1,"","University of Virginia"
"@zygogram",1,1,"","Penn State University"
"aldotcomtigers",1,1,"","Auburn University"
"bellahines.3",1,1,"","Louisiana State University"
"brendan.millon",1,1,"","University of Virginia"
"campbellsouperstar12",1,1,"likely_agency_or_collective","Louisiana State University"
"card0inc",1,1,"","Old Dominion University"
"caydenpope14",1,1,"","Auburn University"
"chalupabatmxn",1,1,"","Texas A&M"
"craverenterprises",1,1,"","Texas A&M"
"d1siah.__",1,1,"","University of Maryland"
"dalton.riggs",1,1,"","University of Central Florida"
"dawson_bundy",1,1,"","Penn State University"
"fullrepstrainingcenter",1,1,"","Penn State University"
"graceyyjamess",1,1,"","Louisiana State University"
"gtx_general",1,1,"","Baylor"
"happyvalleyutd",1,1,"","Penn State University"
"haydenschott",1,1,"","Texas A&M"
"his_huddle",1,1,"","Louisiana State University"
"jbxrks",1,1,"","University of Central Florida"
"josh.klug4",1,1,"","Michigan State"
"keemportfolio",1,1,"","Baylor"
"kel4six_",1,1,"","Baylor"
"kyeu_",1,1,"","Auburn University"
"louiejaysienders",1,1,"","Baylor"
"matthew.beachley",1,1,"","Penn State University"
"nick_antoine3",1,1,"","University of Central Florida"
"okutoyiangella",1,1,"","Auburn University"
"paisanosports",1,1,"","University of Texas at San Antonio (UTSA)"
"prep.lacrosse",1,1,"","University of Virginia"
"saylor.poff",1,1,"","University of Maryland"
"sn1perlewis",1,1,"","University of Virginia"
"sophiegallagher.pt",1,1,"","University of Virginia"
"taylor_kittleman",1,1,"","University of Central Florida"
"thekingdomathletes",1,1,"","Baylor"
"toptierlessons_sanantonio",1,1,"","University of Texas at San Antonio (UTSA)"
"toradol",1,1,"","University of Virginia"
"ucf.volleyball",1,1,"likely_team_page","University of Central Florida"
"uncutatuva",1,1,"","University of Virginia"
