handle,total_posts,school_count,flags,schools
"@aliciascoffee_aggastonmotel",2,1,"","Auburn University"
"@AllianceOrthopedics",2,1,"","Penn State University"
"@ally",2,2,"","Louisiana State University | Texas A&M"
"@americaneagle",2,1,"","Penn State University"
"@amplifynil",2,1,"likely_agency_or_collective","Texas A&M"
"@apsportsagency",2,2,"likely_agency_or_collective","Louisiana State University | University of Virginia"
"@arenaracing",2,1,"","University of Virginia"
"@atgequestrianllc",2,1,"","Baylor"
"@babygrandegolf",2,2,"","Penn State University | University of Virginia"
"@baylor_plus",2,1,"","Baylor"
"@baylorsoftball",2,1,"likely_team_page","Baylor"
"@baylortrack",2,1,"likely_team_page","Baylor"
"@baylorvball",2,1,"likely_team_page","Baylor"
"@berobrewing",2,1,"","Penn State University"
"@bournssporthorses_usa",2,1,"","Auburn University"
"@braedonford21",2,1,"","Penn State University"
"@buckedupenergy",2,1,"","University of Virginia"
"@burgeru_ucf",2,1,"","University of Central Florida"
"@busportsministry",2,1,"","Baylor"
"@camwoodbats",2,2,"","Auburn University | Michigan State"
"@capitolranch",2,1,"","Texas A&M"
"@Carhartt",2,1,"","Texas A&M"
"@cedarskids",2,1,"","University of Nebraska"
"@chargeonpodcast",2,1,"likely_media_or_publisher","University of Central Florida"
"@chipotle",2,2,"","University of Nebraska | University of Virginia"
"@clcbrands",2,2,"","University of Central Florida | University of Virginia"
"@clutchjersey",2,1,"","University of Central Florida"
"@colormehally",2,1,"","Baylor"
"@delgrossospark",2,1,"","Penn State University"
"@drinkprimegirls",2,1,"","Baylor"
"@elevatemealplan",2,1,"","University of Virginia"
"@elite11",2,1,"","Penn State University"
"@equisite_elementsofstyle",2,1,"","Auburn University"
"@f1lasvegas",2,1,"","Penn State University"
"@fableticsmen",2,1,"","Louisiana State University"
"@fashionnova",2,1,"","Baylor"
"@flatlandcavalry",2,1,"","University of Texas at San Antonio (UTSA)"
"@flexworkmgt",2,2,"","Texas A&M | University of Nebraska"
"@foxnation",2,1,"","Penn State University"
"@frogninja",2,1,"","Penn State University"
"@futurescapequiz",2,2,"","Penn State University | University of Nebraska"
"@gameone_usa",2,1,"","University of Texas at San Antonio (UTSA)"
"@gameplanskincare",2,2,"","Baylor | Louisiana State University"
"@getblokfarms",2,1,"","Penn State University"
"@getgamechanger",2,2,"","Louisiana State University | University of Virginia"
"@goldenleafbuilding",2,1,"","University of Nebraska"
"@gordonmckernan",2,1,"","Louisiana State University"
"@gymshark",2,2,"","Baylor | Penn State University"
"@haala_denim",2,1,"","Auburn University"
"@hardees",2,2,"","Old Dominion University | University of Central Florida"
"@heb",2,2,"","Baylor | University of Texas at San Antonio (UTSA)"
"@hedi_gear",2,1,"","Penn State University"
"@hemofarm_bih",2,1,"","University of Virginia"
"@herbalife24",2,2,"","Baylor | University of Maryland"
"@heydude",2,2,"","Texas A&M | University of Texas at San Antonio (UTSA)"
"@heyrowan",2,1,"","University of Virginia"
"@hockeycanada",2,1,"","Penn State University"
"@homage",2,2,"","Michigan State | Penn State University"
"@homefieldapparel",2,2,"","Auburn University | Michigan State"
"@honeystinger",2,1,"","Penn State University"
"@huddleforhearts",2,1,"","Penn State University"
"@humanityandhope",2,1,"","Auburn University"
"@hyundaibh",2,1,"","University of Virginia"
"@influxerlsu",2,1,"","Louisiana State University"
"@influxerusta",2,1,"","University of Texas at San Antonio (UTSA)"
"@inlinelighting",2,1,"","Auburn University"
"@isedmedia",2,2,"likely_media_or_publisher","Texas A&M | University of Virginia"
"@isophit",2,2,"","Auburn University | University of Texas at San Antonio (UTSA)"
"@jawbats",2,2,"","University of Maryland | University of Texas at San Antonio (UTSA)"
"@jeremiahsiceofbatonrouge",2,1,"","Louisiana State University"
"@jesuswonapparel",2,2,"","Baylor | Louisiana State University"
"@joinpaguard",2,1,"","Penn State University"
"@jolynclothing",2,1,"","University of Virginia"
"@jprimesteakhouse",2,1,"","University of Texas at San Antonio (UTSA)"
"@juiceitup_collegestation",2,1,"","Texas A&M"
"@junkbrands",2,2,"","Louisiana State University | Penn State University"
"@kiwiclo_",2,1,"","Penn State University"
"@koveaudio",2,1,"","University of Virginia"
"@krampzwellness",2,2,"","Baylor | Penn State University"
"@laces.athletes",2,1,"","University of Maryland"
"@launchpoint",2,1,"","Texas A&M"
"@leaftradingcards",2,2,"","Louisiana State University | Penn State University"
"@lsu.nil.store",2,1,"likely_agency_or_collective","Louisiana State University"
"@lsufootball",2,1,"likely_team_page","Louisiana State University"
"@luglife",2,1,"","University of Virginia"
"@lytebalance",2,2,"","Penn State University | Texas A&M"
"@maizlyforall",2,1,"","Auburn University"
"@maurten_official",2,1,"","University of Virginia"
"@maxeffort",2,1,"","University of Virginia"
"@mcdonalds.nebraska",2,1,"","University of Nebraska"
"@mcdonaldsphillyregion",2,2,"","Penn State University | Wichita State University"
"@mizunofastpitchusa",2,1,"","University of Nebraska"
"@nationalguard",2,2,"","Texas A&M | University of Texas at San Antonio (UTSA)"
"@naturewellbeauty",2,1,"","Auburn University"
"@nebraskanilstore",2,1,"likely_agency_or_collective","University of Nebraska"
"@newbalance",2,2,"","Baylor | Penn State University"
"@newbeauty",2,2,"","Penn State University | University of Virginia"
"@nexupbaseball",2,1,"","University of Maryland"
"@nfinity",2,1,"","Baylor"
"@nikeeyb",2,2,"","Baylor | University of Maryland"
"@nil.store.pennstate",2,1,"likely_agency_or_collective","Penn State University"
"@noezybuckets",2,1,"","Penn State University"
"@nutrifysupps",2,1,"","University of Virginia"
"@oakleymeta",2,2,"","Louisiana State University | University of Virginia"
"@oceanviewcrisp",2,1,"","Penn State University"
"@odu_nilhub",2,1,"likely_agency_or_collective","Old Dominion University"
"@odufootball",2,1,"likely_team_page","Old Dominion University"
"@ogee",2,1,"","Penn State University"
"@onlyelitethreads",2,1,"","University of Virginia"
"@ontovictorynil",2,2,"likely_agency_or_collective","Auburn University | University of Central Florida"
"@oofos",2,2,"","Louisiana State University | University of Virginia"
"@ovikhealth",2,1,"","Louisiana State University"
"@ozoneleos",2,1,"","Auburn University"
"@pearsonbaseballacad",2,1,"","Louisiana State University"
"@penn_steaks",2,1,"","Penn State University"
"@pennstatefball",2,1,"likely_team_page","Penn State University"
"@phormenergy",2,1,"","Louisiana State University"
"@popslemonade",2,1,"","Baylor"
"@princesspolly",2,2,"","Auburn University | Baylor"
"@projectrepatusa",2,1,"","Baylor"
"@puma.usa",2,1,"","Louisiana State University"
"@purelyinspirednutrition",2,1,"","University of Texas at San Antonio (UTSA)"
"@pyramidhealthcareinc",2,1,"","Penn State University"
"@r0be4t",2,1,"","Old Dominion University"
"@rawlingssg",2,2,"","Penn State University | University of Maryland"
"@recruitgfx",2,2,"likely_media_or_publisher","Michigan State | University of Central Florida"
"@redbullusa",2,1,"","University of Nebraska"
"@relayactive",2,1,"","University of Virginia"
"@rentacenter",2,1,"","University of Central Florida"
"@retroroyalty.co",2,2,"","Michigan State | University of Texas at San Antonio (UTSA)"
"@roarpluspsu",2,1,"","Penn State University"
"@rooga.sliced3m",2,1,"","Michigan State"
"@se7ensports.live",2,1,"","University of Texas at San Antonio (UTSA)"
"@she.sports.inc",2,1,"","University of Nebraska"
"@simplyprotein",2,1,"","Baylor"
"@smoothieking",2,1,"","Louisiana State University"
